dwc:scientificName,gbif:canonicalName,coreid,dwc:basisOfRecord,dwc:catalogNumber,dwc:collectionCode,dwc:recordedBy,dwc:vernacularName,idigbio:commonnames,dwc:coordinateUncertaintyInMeters,dwc:county,idigbio:eventDate,idigbio:dataQualityScore,dwc:eventDate,dwc:fieldNumber,idigbio:flags,dwc:genus,idigbio:geoPoint,dwc:institutionCode,dwc:locality,evelation,dwc:recordNumber,dwc:verbatimEventDate,dwc:verbatimLocality
hemignathus flavus,chlorodrepanis flava,4fa9acf0-d3bf-4ce9-b1ab-7b085017bea7,preservedspecimen,185707,vz-bpbm,m burt,o'ahu 'amakihi,"[""O'ahu 'Amakihi""]",,,,0.14492753623188406,,,"[""geopoint_low_precision"", ""dwc_family_replaced"", ""gbif_vernacularname_added"", ""dwc_parentnameusageid_added"", ""dwc_specificepithet_replaced"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""gbif_taxon_corrected"", ""dwc_taxonid_added"", ""dwc_country_replaced"", ""idigbio_isocountrycode_added"", ""dwc_phylum_added"", ""gbif_canonicalname_added"", ""dwc_scientificnameauthorship_added"", ""gbif_reference_added"", ""dwc_originalnameusageid_added"", ""dwc_genus_replaced""]",chlorodrepanis,"{""lat"": 21.4521, ""lon"": -158.08}",bpbm,"honouliuli forest reserve, ekahanui trail head",,,08 aug 2012,"usa, main hawaiian islands, oahu, honouliuli forest reserve, ekahanui trail head = nwhc necropsy report; n21°26.697' w158°04.770' = specimen report."
palmeria dolei,palmeria dolei,c57e7752-b9b1-4d11-9ef7-e70c2aa50b61,preservedspecimen,184417,vz-bpbm,"j simon, p baker, g massey, j turner","`akohekohe, crested honeycreeper","[""`Akohekohe, Crested Honeycreeper""]",,,,0.2463768115942029,,,"[""dwc_family_replaced"", ""gbif_vernacularname_added"", ""dwc_multimedia_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""gbif_taxon_corrected"", ""dwc_taxonid_added"", ""dwc_country_replaced"", ""idigbio_isocountrycode_added"", ""dwc_phylum_added"", ""gbif_canonicalname_added"", ""dwc_scientificnameauthorship_added"", ""dwc_continent_added"", ""gbif_reference_added"", ""dwc_parentnameusageid_added""]",palmeria,"{""lat"": 20.7436, ""lon"": -156.133}",bpbm,"hanawi natural area reserve, 30 min. hike from geologists bog, transect #9",,collector number: --,21 feb 1997,"captive hatch at kbcc from wild-collected egg.  egg collected from nest ""30 minute hike from geologists bog.  elevation 6,440', transect #9, hanawi nars""."
chlorodrepanis virens,chlorodrepanis virens,a3253eac-53d2-4de6-b350-2b9268c95da5,preservedspecimen,mvz:bird:118737,bird,collector(s): paul h. baldwin,,,2383.0,hawaii county,1948-10-19T19:48:00-19:00,0.4492753623188406,1948-10-19/1948-10-19,,"[""geopoint_datum_error"", ""dwc_continent_added"", ""idigbio_isocountrycode_added""]",chlorodrepanis,"{""lat"": 19.4578208923, ""lon"": -155.3179473876}",mvz,"1 mi n kipuka ki, kau",1402.0,paul h. baldwin 374,19 oct 1948,"1 mi n kipuka ki, kau"
paroreomyza flammea,paroreomyza flammea,33aa8c1f-81d4-49f8-8848-5a7127518cb2,preservedspecimen,4655,vz-bbm,,"kakawahie, moloka'i creeper","[""Kakawahie, Moloka'i Creeper""]",,,,0.14492753623188406,,,"[""dwc_family_replaced"", ""gbif_vernacularname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""gbif_taxon_corrected"", ""dwc_parentnameusageid_added"", ""dwc_taxonid_added"", ""dwc_continent_added"", ""dwc_country_replaced"", ""idigbio_isocountrycode_added"", ""dwc_phylum_added"", ""dwc_multimedia_added"", ""gbif_canonicalname_added"", ""dwc_scientificnameauthorship_added"", ""gbif_reference_added"", ""dwc_originalnameusageid_added""]",paroreomyza,"{""lat"": 21.1401, ""lon"": -157.012}",bpbm,,,,,
himatione sanguinea,himatione sanguinea,4a189629-f83f-4258-b276-e3617a7b88b7,preservedspecimen,700,vz-bbm,a seale,,,,kauai county,1900-04-19T00:00:00+00:00,0.2028985507246377,1900-04-19t00:00z,,"[""geopoint_datum_missing"", ""gbif_reference_added"", ""dwc_scientificnameauthorship_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""gbif_taxon_corrected"", ""dwc_parentnameusageid_added"", ""gbif_vernacularname_added"", ""dwc_continent_added"", ""dwc_country_replaced"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""dwc_multimedia_added"", ""gbif_canonicalname_added"", ""dwc_originalnameusageid_added""]",himatione,"{""lat"": 22.06269, ""lon"": -159.53698}",bpbm,,,,,
himatione sanguinea,himatione sanguinea,16605470-a827-4dca-bd0d-edf09aff3f7d,preservedspecimen,179612,vz-bpbm,p luscomb,`apapane,"[""`Apapane""]",,,,0.21739130434782608,,,"[""geopoint_datum_error"", ""gbif_reference_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""gbif_vernacularname_added"", ""dwc_continent_added"", ""dwc_country_replaced"", ""idigbio_isocountrycode_added"", ""dwc_phylum_added"", ""dwc_family_replaced"", ""dwc_scientificnameauthorship_added"", ""dwc_originalnameusageid_added"", ""dwc_taxonomicstatus_added"", ""dwc_taxonid_added"", ""dwc_multimedia_added"", ""dwc_parentnameusageid_added"", ""gbif_taxon_corrected"", ""gbif_canonicalname_added""]",himatione,"{""lat"": 19.525, ""lon"": -155.345}",bpbm,"e slope of mauna loa, ca. 16 km nw of volcano, (keawewai cabin)",,collector number: --,05 nov 1990,"""keahou, hi"" on zoo form ; ""keawewai cabin, e slope mauna loa, ca. 16 km nw of volcano"" per luscomb."
hemignathus virens virens,chlorodrepanis virens virens,01850b7b-881f-4448-b817-83a0ec21852a,preservedspecimen,3650,vz-bbm,h w henshaw,hawai'i 'amakihi (hawai`i),"[""Hawai'i 'Amakihi (Hawai`i)""]",,,,0.2028985507246377,,,"[""dwc_family_replaced"", ""gbif_vernacularname_added"", ""dwc_taxonrank_replaced"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""gbif_taxon_corrected"", ""dwc_parentnameusageid_added"", ""dwc_taxonid_added"", ""dwc_country_replaced"", ""idigbio_isocountrycode_added"", ""dwc_phylum_added"", ""gbif_canonicalname_added"", ""dwc_scientificnameauthorship_added"", ""dwc_continent_added"", ""gbif_reference_added"", ""dwc_originalnameusageid_added"", ""dwc_genus_replaced""]",chlorodrepanis,"{""lat"": 19.7548, ""lon"": -155.145}",bpbm,kaiwiki,,collector number: --,12 jan 1900,"kaiwiki, hawaii = from copy of old catalog: aves 2301-4800"
hemignathus virens,chlorodrepanis virens,2e25839e-d453-46e2-8405-e919ebdf6543,preservedspecimen,183577,vz-bpbm,?,common 'amakihi,"[""Common 'Amakihi""]",,,,0.2028985507246377,,,"[""geopoint_datum_error"", ""geopoint_low_precision"", ""gbif_reference_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""gbif_vernacularname_added"", ""dwc_continent_added"", ""dwc_country_replaced"", ""idigbio_isocountrycode_added"", ""dwc_phylum_added"", ""dwc_family_replaced"", ""dwc_scientificnameauthorship_added"", ""dwc_originalnameusageid_added"", ""dwc_genus_replaced"", ""dwc_taxonomicstatus_added"", ""dwc_taxonid_added"", ""dwc_parentnameusageid_added"", ""gbif_taxon_corrected"", ""gbif_canonicalname_added""]",chlorodrepanis,"{""lat"": 19.75, ""lon"": -155.53}",bpbm,"pohakuloa [sw of mauna kea summit, near saddle road]",,collector number: 8-5-1,08 dec 1988,pohakuloa
chlorodrepanis virens,chlorodrepanis virens,18f88f0a-bd2d-4450-b5be-2902865ce81d,preservedspecimen,mvz:bird:118809,bird,collector(s): paul h. baldwin,,,497.0,hawaii county,1949-08-10T19:49:00-10:00,0.4492753623188406,1949-08-10/1949-08-10,,"[""geopoint_datum_error"", ""dwc_continent_added"", ""idigbio_isocountrycode_added""]",chlorodrepanis,"{""lat"": 19.7566795349, ""lon"": -155.4678192138}",mvz,"puu haiwahine, kaohe",2682.0,paul h. baldwin 826,10 aug 1949,"puu haiwahine, kaohe"
telespiza cantans,telespiza cantans,809a457c-1ded-439d-b93f-a28fb367586a,preservedspecimen,mvz:bird:127159,bird,collector(s): l. p. richards,,,969.0,,1951-10-17T19:51:00-17:00,0.391304347826087,1951-10-17/1951-10-17,,"[""geopoint_datum_error"", ""rev_geocode_eez"", ""dwc_continent_added"", ""idigbio_isocountrycode_added""]",telespiza,"{""lat"": 23.0581512451, ""lon"": -161.9233398437}",mvz,"nihoa island, hawaiian islands, nihoa island",,l. p. richards 319,17 oct 1951,nihoa id.
hemignathus virens,chlorodrepanis virens,3ff885a5-98f9-4e2a-bcb5-f730c7b9a8ab,preservedspecimen,146178,vz-bbm-x,,common 'amakihi,"[""Common 'Amakihi""]",,,,0.17391304347826086,,,"[""dwc_family_replaced"", ""gbif_vernacularname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""gbif_taxon_corrected"", ""dwc_parentnameusageid_added"", ""dwc_taxonid_added"", ""dwc_continent_added"", ""dwc_country_replaced"", ""idigbio_isocountrycode_added"", ""dwc_phylum_added"", ""gbif_canonicalname_added"", ""dwc_scientificnameauthorship_added"", ""gbif_reference_added"", ""dwc_originalnameusageid_added"", ""dwc_genus_replaced""]",chlorodrepanis,"{""lat"": 19.6145, ""lon"": -155.559}",bpbm,,,,--,"hawaii, hawaii, hawaii volcanoes natl. park (end of mauna loa strip road0, 6600 ft.= from card catalog"
haemorhous mexicanus,haemorhous mexicanus,f0893301-d2f1-49b0-8875-a7bba39cdfb8,preservedspecimen,mvz:bird:12603,bird,collector(s): annie m. alexander,,,526.0,maui county,1910-02-09T19:10:00-09:00,0.42028985507246375,1910-02-09/1910-02-09,,"[""geopoint_datum_error"", ""dwc_continent_added"", ""idigbio_isocountrycode_added""]",haemorhous,"{""lat"": 21.1578598022, ""lon"": -157.0134735107}",mvz,"kauluwai, molokai, hawaiian islands, molokai",,annie m. alexander 437,9 feb 1910,"kauluwai, molokai"
drepanis coccinea,vestiaria coccinea,30ec8c2f-bf2f-4f3a-be45-ff4454fa6307,preservedspecimen,mvz:bird:118954,bird,collector(s): paul h. baldwin,,,6078.0,hawaii county,1949-01-06T19:49:00-06:00,0.4492753623188406,1949-01-06/1949-01-06,,"[""geopoint_datum_error"", ""dwc_continent_added"", ""idigbio_isocountrycode_added""]",vestiaria,"{""lat"": 19.6256999969, ""lon"": -155.3661041259}",mvz,"puu oo volcano trail, s hilo",1760.0,paul h. baldwin 525,6 jan 1949,"puo oo volcano trail, s hilo"
chlorodrepanis virens,chlorodrepanis virens,111da1ba-22fc-4c6d-8993-2613669aea64,preservedspecimen,mvz:bird:118784,bird,collector(s): paul h. baldwin,,,481.0,hawaii county,1949-02-04T19:49:00-04:00,0.4492753623188406,1949-02-04/1949-02-04,,"[""geopoint_datum_error"", ""dwc_continent_added"", ""idigbio_isocountrycode_added""]",chlorodrepanis,"{""lat"": 19.109090805, ""lon"": -155.8258209228}",mvz,"manuka, kau",533.0,paul h. baldwin 565,4 feb 1949,"manuka, kau"
telespiza ultima,telespiza ultima,bdf85e47-decb-49c9-b3e6-d6361c1631f2,preservedspecimen,mvz:bird:124729,bird,collector(s): l. p. richards,,,969.0,,1951-07-14T19:51:00-14:00,0.391304347826087,1951-07-14/1951-07-14,,"[""geopoint_datum_error"", ""rev_geocode_eez"", ""dwc_continent_added"", ""idigbio_isocountrycode_added""]",telespiza,"{""lat"": 23.0581512451, ""lon"": -161.9233398437}",mvz,"nihoa island, hawaiian islands, nihoa island",,l. p. richards 321,14 jul 1951,nihoa id.
himatione sanguinea,himatione sanguinea,ec8a6759-b9bc-4d70-8d56-eb4cfcf28dfa,preservedspecimen,mvz:bird:118909,bird,collector(s): paul h. baldwin,,,1463.0,hawaii county,1949-03-31T19:49:00+00:00,0.4492753623188406,1949-03-31/1949-03-31,,"[""geopoint_datum_error"", ""dwc_continent_added"", ""idigbio_isocountrycode_added""]",himatione,"{""lat"": 19.4246406555, ""lon"": -155.2819976806}",mvz,"n rim kilauea crater, kau",1227.0,paul h. baldwin 667,31 mar 1949,"n rim kilauea crater, kau"
psittirostra psittacea,psittirostra psittacea,7694f1f4-b9ba-42f1-a274-9349d59ec750,preservedspecimen,6316,vz-bbm,g c munro,`o`u,"[""`O`u""]",,,,0.21739130434782608,,,"[""dwc_family_replaced"", ""gbif_vernacularname_added"", ""idigbio_isocountrycode_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""gbif_taxon_corrected"", ""dwc_parentnameusageid_added"", ""dwc_taxonid_added"", ""dwc_country_replaced"", ""dwc_phylum_added"", ""dwc_multimedia_added"", ""gbif_canonicalname_added"", ""dwc_scientificnameauthorship_added"", ""dwc_continent_added"", ""gbif_reference_added"", ""dwc_originalnameusageid_added""]",psittirostra,"{""lat"": 22.0627, ""lon"": -159.537}",bpbm,,,collector number: --,?? apr 1898,kauai = specimen label
himatione sanguinea,himatione sanguinea,c49b5d38-be36-4612-b8e7-eb0c500daf43,preservedspecimen,184410,vz-bpbm,a lieberman,`apapane,"[""`Apapane""]",,,,0.21739130434782608,,,"[""dwc_family_replaced"", ""gbif_vernacularname_added"", ""dwc_multimedia_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""gbif_taxon_corrected"", ""dwc_parentnameusageid_added"", ""dwc_taxonid_added"", ""dwc_country_replaced"", ""idigbio_isocountrycode_added"", ""dwc_phylum_added"", ""gbif_canonicalname_added"", ""dwc_scientificnameauthorship_added"", ""dwc_continent_added"", ""gbif_reference_added"", ""dwc_originalnameusageid_added""]",himatione,"{""lat"": 19.5116, ""lon"": -155.341}",bpbm,keauhou ranch,,collector number: --,,captive hatch at kbcc…..egg collected on keauhou ranch.
hemignathus munroi,hemignathus wilsoni,ed126bff-800a-4ba6-8ec5-2368c695b123,preservedspecimen,6051,vz-bbm,g c munro,`akiapola'au,"[""`Akiapola'au""]",,,,0.2463768115942029,,,"[""dwc_family_replaced"", ""gbif_vernacularname_added"", ""dwc_specificepithet_replaced"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""gbif_taxon_corrected"", ""dwc_taxonid_added"", ""dwc_country_replaced"", ""idigbio_isocountrycode_added"", ""dwc_phylum_added"", ""gbif_canonicalname_added"", ""dwc_scientificnameauthorship_added"", ""dwc_continent_added"", ""gbif_reference_added"", ""dwc_parentnameusageid_added""]",hemignathus,"{""lat"": 19.8539, ""lon"": -155.494}",bpbm,hamakua,,collector number: --,09 feb 1892,"hamakua, hawaii = specimen label"
hemignathus virens wilsoni,chlorodrepanis virens wilsoni,bb144ee5-619c-4719-8b68-0a72fafe2434,preservedspecimen,7193.01,vz-bbm,g c munro,,,,maui county,1926-11-19T00:00:00+00:00,0.21739130434782608,1926-11-19t00:00z,,"[""geopoint_datum_missing"", ""gbif_reference_added"", ""dwc_scientificnameauthorship_added"", ""dwc_taxonrank_replaced"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""gbif_taxon_corrected"", ""dwc_parentnameusageid_added"", ""gbif_vernacularname_added"", ""dwc_continent_added"", ""dwc_country_replaced"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_canonicalname_added"", ""dwc_originalnameusageid_added"", ""dwc_genus_replaced""]",chlorodrepanis,"{""lat"": 20.82999, ""lon"": -156.90115}",bpbm,kaiholena,,,,
hemignathus virens virens,chlorodrepanis virens virens,a2bb60f5-6517-4131-8542-3a03ecd9562b,preservedspecimen,3658,vz-bbm,h w henshaw,hawai'i 'amakihi (hawai`i),"[""Hawai'i 'Amakihi (Hawai`i)""]",,,,0.2028985507246377,,,"[""dwc_family_replaced"", ""gbif_vernacularname_added"", ""dwc_taxonrank_replaced"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""gbif_taxon_corrected"", ""dwc_parentnameusageid_added"", ""dwc_taxonid_added"", ""dwc_country_replaced"", ""idigbio_isocountrycode_added"", ""dwc_phylum_added"", ""gbif_canonicalname_added"", ""dwc_scientificnameauthorship_added"", ""dwc_continent_added"", ""gbif_reference_added"", ""dwc_originalnameusageid_added"", ""dwc_genus_replaced""]",chlorodrepanis,"{""lat"": 19.7548, ""lon"": -155.145}",bpbm,kaiwiki,,collector number: --,02 feb 1900,"kaiwiki, hawaii = from copy of old catalog: aves 2301-4800"
paroreomyza maculata,paroreomyza maculata,9e34308e-027f-4370-a637-dde5936800a7,preservedspecimen,1485,vz-bbm,a seale,"o'ahu 'alauahio, oahu creeper","[""O'ahu 'Alauahio, Oahu Creeper""]",,,,0.2318840579710145,,,"[""dwc_family_replaced"", ""gbif_vernacularname_added"", ""dwc_multimedia_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""gbif_taxon_corrected"", ""dwc_parentnameusageid_added"", ""dwc_taxonid_added"", ""dwc_country_replaced"", ""idigbio_isocountrycode_added"", ""dwc_phylum_added"", ""gbif_canonicalname_added"", ""dwc_scientificnameauthorship_added"", ""dwc_continent_added"", ""gbif_reference_added"", ""dwc_originalnameusageid_added""]",paroreomyza,"{""lat"": 21.4838, ""lon"": -158.129}",bpbm,waianae mts.,,collector number: as 1788,28 feb 1901,"waianae mts, oahu."
loxops coccineus,loxops coccineus,40fc0abe-6f46-4ae8-9ba1-4a13c7149bce,preservedspecimen,3265,vz-bbm,h w henshaw,hawai'i 'akepa,"[""Hawai'i 'Akepa""]",,,,0.21739130434782608,,,"[""dwc_family_replaced"", ""gbif_vernacularname_added"", ""dwc_multimedia_added"", ""dwc_taxonrank_replaced"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""gbif_taxon_corrected"", ""dwc_parentnameusageid_added"", ""dwc_taxonid_added"", ""dwc_country_replaced"", ""idigbio_isocountrycode_added"", ""dwc_phylum_added"", ""gbif_canonicalname_added"", ""dwc_scientificnameauthorship_added"", ""dwc_continent_added"", ""gbif_reference_added"", ""dwc_originalnameusageid_added""]",loxops,"{""lat"": 19.7548, ""lon"": -155.145}",bpbm,kaiwiki,,collector number: --,17 feb 1900,"kaiwiki, hawaii = from copy of old catalog: aves 2301-4800"
himatione sanguinea,himatione sanguinea,a322d10a-cc5f-4e4f-936b-5b1f7dcbec74,preservedspecimen,179300,vz-bpbm,"s pimm, et al.",`apapane,"[""`Apapane""]",,,,0.2028985507246377,,,"[""geopoint_datum_error"", ""geopoint_low_precision"", ""gbif_reference_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""gbif_vernacularname_added"", ""dwc_continent_added"", ""dwc_country_replaced"", ""idigbio_isocountrycode_added"", ""dwc_phylum_added"", ""dwc_family_replaced"", ""dwc_scientificnameauthorship_added"", ""dwc_originalnameusageid_added"", ""dwc_taxonomicstatus_added"", ""dwc_taxonid_added"", ""dwc_multimedia_added"", ""dwc_parentnameusageid_added"", ""gbif_taxon_corrected"", ""gbif_canonicalname_added""]",himatione,"{""lat"": 20.75, ""lon"": -156.13}",bpbm,"ne slope of haleakala, hanawi, (upper drainage)",,collector number: --,13 feb 1993,"hanawi, maui - note with specimen. down slope from frisbee ì meadow, elev approx 6700 ft - letter from d hopper with map."
hemignathus sagittirostris,viridonia sagittirostris,8fc3bfba-c142-4092-b5f8-631c01d096a5,preservedspecimen,157316,vz-bbm-x,h w henshaw,greater 'amakihi,"[""Greater 'Amakihi""]",,,,0.2318840579710145,,,"[""dwc_family_replaced"", ""gbif_vernacularname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""gbif_taxon_corrected"", ""dwc_taxonid_added"", ""dwc_country_replaced"", ""idigbio_isocountrycode_added"", ""dwc_phylum_added"", ""gbif_canonicalname_added"", ""dwc_scientificnameauthorship_added"", ""dwc_continent_added"", ""gbif_reference_added"", ""dwc_parentnameusageid_added"", ""dwc_genus_replaced""]",viridonia,"{""lat"": 19.6145, ""lon"": -155.559}",bpbm,,,collector number: --,?? ??? ????,hawaii: hawaii: no exact locality or alt.  [= catalog card]
hemignathus parvus,magumma parva,8f7978f0-006e-42a3-b9ac-1db14498f91a,preservedspecimen,147120,vz-bbm-x,,`anianiau,"[""`Anianiau""]",,,,0.14492753623188406,,,"[""dwc_family_replaced"", ""gbif_vernacularname_added"", ""dwc_specificepithet_replaced"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""gbif_taxon_corrected"", ""dwc_taxonid_added"", ""dwc_continent_added"", ""dwc_country_replaced"", ""idigbio_isocountrycode_added"", ""dwc_phylum_added"", ""dwc_multimedia_added"", ""gbif_canonicalname_added"", ""dwc_scientificnameauthorship_added"", ""gbif_reference_added"", ""dwc_parentnameusageid_added"", ""dwc_genus_replaced""]",magumma,"{""lat"": 22.0627, ""lon"": -159.537}",bpbm,,,,--,
vestiaria coccinea,vestiaria coccinea,020ad89f-35ba-441b-bf41-912a958253d8,preservedspecimen,4705,vz-bbm,,`i`iwi,"[""`I`iwi""]",,,,0.15942028985507245,,,"[""dwc_family_replaced"", ""gbif_vernacularname_added"", ""idigbio_isocountrycode_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""gbif_taxon_corrected"", ""dwc_taxonid_added"", ""dwc_continent_added"", ""dwc_parentnameusageid_added"", ""dwc_country_replaced"", ""dwc_phylum_added"", ""dwc_multimedia_added"", ""gbif_canonicalname_added"", ""dwc_scientificnameauthorship_added"", ""gbif_reference_added"", ""dwc_originalnameusageid_added""]",vestiaria,"{""lat"": 21.1401, ""lon"": -157.012}",bpbm,,,,,
hemignathus virens,chlorodrepanis virens,cf3dcb42-788e-4d35-85ba-84ee4f1ae7d4,preservedspecimen,179414,vz-bpbm,"c t atkinson, et al.",common 'amakihi,"[""Common 'Amakihi""]",,,,0.18840579710144928,,,"[""geopoint_datum_error"", ""geopoint_low_precision"", ""gbif_reference_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""gbif_vernacularname_added"", ""dwc_continent_added"", ""dwc_country_replaced"", ""idigbio_isocountrycode_added"", ""dwc_phylum_added"", ""dwc_family_replaced"", ""dwc_scientificnameauthorship_added"", ""dwc_originalnameusageid_added"", ""dwc_genus_replaced"", ""dwc_taxonomicstatus_added"", ""dwc_taxonid_added"", ""dwc_parentnameusageid_added"", ""gbif_taxon_corrected"", ""gbif_canonicalname_added""]",chlorodrepanis,"{""lat"": 19.75, ""lon"": -155.527}",bpbm,"mauna kea, mauna kea state recreation area",,collector number: --,15 sep 1993,mauna kea state park [see map in acc'n file]
carpodacus mexicanus,haemorhous mexicanus,326a6f8d-24d9-484a-8013-81409f498152,preservedspecimen,177005,vz-bpbm,"f p duvall, ii",house finch,"[""House Finch""]",,,,0.21739130434782608,,,"[""gbif_vernacularname_added"", ""dwc_taxonrank_replaced"", ""dwc_specificepithet_replaced"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""gbif_taxon_corrected"", ""dwc_taxonid_added"", ""dwc_parentnameusageid_added"", ""dwc_country_replaced"", ""dwc_phylum_added"", ""dwc_multimedia_added"", ""gbif_canonicalname_added"", ""dwc_scientificnameauthorship_added"", ""dwc_continent_added"", ""gbif_reference_added"", ""idigbio_isocountrycode_added""]",haemorhous,"{""lat"": 20.8088, ""lon"": -156.352}",bpbm,,,collector number: --,26 oct 1987,"hawaii, maui, olinda, (endangered species facility grounds), 3700ft"
hemignathus virens wilsoni,chlorodrepanis virens wilsoni,b437e0da-342c-42c7-b13f-cf54eafbd333,preservedspecimen,4496,vz-bbm,r c l perkins,hawai`i 'amakihi (maui),"[""Hawai`i 'Amakihi (Maui)""]",,,,0.18840579710144928,,,"[""dwc_family_replaced"", ""gbif_vernacularname_added"", ""dwc_taxonrank_replaced"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""gbif_taxon_corrected"", ""dwc_parentnameusageid_added"", ""dwc_taxonid_added"", ""dwc_country_replaced"", ""idigbio_isocountrycode_added"", ""dwc_phylum_added"", ""gbif_canonicalname_added"", ""dwc_scientificnameauthorship_added"", ""dwc_continent_added"", ""gbif_reference_added"", ""dwc_originalnameusageid_added"", ""dwc_genus_replaced""]",chlorodrepanis,"{""lat"": 21.1401, ""lon"": -157.012}",bpbm,,,collector number: rclp 219,31 may 1893,molokai
loxioides bailleui,loxioides bailleui,b8734f69-9d64-4993-843a-c445456273ff,preservedspecimen,175982,vz-bpbm,c e mcintosh & a engilis jr,palila,"[""Palila""]",,,,0.21739130434782608,,,"[""geopoint_datum_error"", ""geopoint_low_precision"", ""gbif_reference_added"", ""gbif_genericname_added"", ""dwc_parentnameusageid_added"", ""dwc_datasetid_added"", ""gbif_vernacularname_added"", ""dwc_continent_added"", ""dwc_country_replaced"", ""idigbio_isocountrycode_added"", ""dwc_phylum_added"", ""dwc_family_replaced"", ""dwc_scientificnameauthorship_added"", ""dwc_taxonomicstatus_added"", ""dwc_taxonid_added"", ""dwc_multimedia_added"", ""gbif_taxon_corrected"", ""gbif_canonicalname_added""]",loxioides,"{""lat"": 19.8, ""lon"": -155.57}",bpbm,mauna kea (w slope of puu o kauha),,collector number: aejr 2027,19 aug 1987,"hawaii, hawaii, mauna kea (w slope of puu o kauha)"
oreomystis bairdi,oreomystis bairdi,01159af4-e111-4272-b282-7dc9ded05f0b,preservedspecimen,1194,vz-bbm,a seale,"`akikiki, kaua`i creeper","[""`Akikiki, Kaua`i Creeper""]",,,,0.2318840579710145,,,"[""dwc_family_replaced"", ""gbif_vernacularname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""gbif_taxon_corrected"", ""dwc_taxonid_added"", ""dwc_country_replaced"", ""idigbio_isocountrycode_added"", ""dwc_phylum_added"", ""dwc_multimedia_added"", ""gbif_canonicalname_added"", ""dwc_scientificnameauthorship_added"", ""dwc_continent_added"", ""gbif_reference_added"", ""dwc_parentnameusageid_added""]",oreomystis,"{""lat"": 22.0627, ""lon"": -159.537}",bpbm,,,collector number: as 1437,23 apr 1900,kauai hawaiian ids.
himatione sanguinea,himatione sanguinea,264ad942-62fe-4f43-8f09-945a01f5205c,preservedspecimen,1605,vz-bbm,a seale,`apapane,"[""`Apapane""]",,,,0.2318840579710145,,,"[""dwc_family_replaced"", ""gbif_vernacularname_added"", ""dwc_multimedia_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""gbif_taxon_corrected"", ""dwc_parentnameusageid_added"", ""dwc_taxonid_added"", ""dwc_country_replaced"", ""idigbio_isocountrycode_added"", ""dwc_phylum_added"", ""gbif_canonicalname_added"", ""dwc_scientificnameauthorship_added"", ""dwc_continent_added"", ""gbif_reference_added"", ""dwc_originalnameusageid_added""]",himatione,"{""lat"": 21.4838, ""lon"": -158.129}",bpbm,waianae mts.,,collector number: as 1703,28 jan 1901,"waianae mts, oahu"
